iter	Logloss
0	0.6463724701
1	0.6088104076
2	0.5793197299
3	0.551607263
4	0.5303515485
5	0.507548544
6	0.4927675246
7	0.4761296248
8	0.4658118906
9	0.4549780413
10	0.44541325
11	0.43990316
12	0.4307046464
13	0.4237055356
14	0.4198553246
15	0.4136464741
16	0.406258145
17	0.4034456903
18	0.3997656108
19	0.3943800642
20	0.3911534462
21	0.3808645224
22	0.3765805839
23	0.3739028343
24	0.3709999021
25	0.3696279438
26	0.3683249938
27	0.3630762894
28	0.3620283632
29	0.3615024836
30	0.3590227101
31	0.3576953707
32	0.3568881815
33	0.3552841737
34	0.3521789699
35	0.3514209736
36	0.3508115266
37	0.348396361
38	0.3478017728
39	0.3468222869
40	0.3437359585
41	0.3403320214
42	0.3393974099
43	0.3388561936
44	0.3374098507
45	0.3369317618
46	0.3364307334
47	0.3360348367
48	0.3355402804
49	0.3350572407
50	0.3324494277
51	0.3315520322
52	0.331198087
53	0.330725047
54	0.3301734354
55	0.3299533978
56	0.3294992929
57	0.3292382301
58	0.3289580904
59	0.3287284068
60	0.3284022013
61	0.3270134884
62	0.3263727934
63	0.3261030666
64	0.3254503406
65	0.3252218192
66	0.3244965131
67	0.324269764
68	0.3240704739
69	0.3228047897
70	0.3226157439
71	0.3223634699
72	0.3218113395
73	0.3215994126
74	0.3212119202
75	0.3208699717
76	0.3206614803
77	0.3199354895
78	0.3193877304
79	0.3182770523
80	0.3179726729
81	0.3178064675
82	0.3175732451
83	0.317486782
84	0.3160011721
85	0.3156651487
86	0.3154554107
87	0.3152191448
88	0.3149607938
89	0.3146609871
90	0.3141694437
91	0.3139188319
92	0.3135606478
93	0.3134257987
94	0.3131151125
95	0.3129472424
96	0.3127218096
97	0.3125028171
98	0.3123467794
99	0.312093239
100	0.3117563977
101	0.3115729696
102	0.3113827554
103	0.3111147604
104	0.3109612226
105	0.3107252997
106	0.3105686425
107	0.3103534859
108	0.3101951517
109	0.3098437363
110	0.309672349
111	0.3095081673
112	0.3093451223
113	0.3091485605
114	0.3089749666
115	0.3088079168
116	0.3085141666
117	0.3081241787
118	0.3079666959
119	0.3078043678
120	0.307549514
121	0.3073966113
122	0.3072432937
123	0.3070252368
124	0.3068766435
125	0.3067278082
126	0.306581874
127	0.3064389749
128	0.3062971252
129	0.3061539189
130	0.3058940476
131	0.3057520511
132	0.3055454045
133	0.3054070825
134	0.3052705312
135	0.3049605046
136	0.304824469
137	0.3046908494
138	0.3043350967
139	0.3041494211
140	0.3040154509
141	0.3038837014
142	0.3037512243
143	0.303619261
144	0.3034874135
145	0.3033576004
146	0.3032294665
147	0.3031022178
148	0.302785564
149	0.3026583883
150	0.3025338145
151	0.3023034069
152	0.3021166705
153	0.3019927155
154	0.3016506801
155	0.3015269148
156	0.3014037177
157	0.3012813078
158	0.3011592831
159	0.3010377561
160	0.3009169753
161	0.3007961477
162	0.3006759984
163	0.3005556415
164	0.3004361693
165	0.3003171998
166	0.300199015
167	0.3000818933
168	0.2996889512
169	0.2995720207
170	0.2994563482
171	0.2993379533
172	0.2992227129
173	0.2989708486
174	0.298856159
175	0.2986829315
176	0.298568318
177	0.2984534399
178	0.2983402832
179	0.2982272047
180	0.2981147559
181	0.2980021294
182	0.2978020992
183	0.2975287673
184	0.2974161629
185	0.297304738
186	0.2960494002
187	0.2959369951
188	0.2958257561
189	0.2957149415
190	0.2956042808
191	0.2954199182
192	0.2953095324
193	0.2951997468
194	0.295090676
195	0.2948653097
196	0.2947562589
197	0.2946473834
198	0.2945391466
199	0.2944310784
