iter	Passed	Remaining
0	37	7387
1	67	6693
2	101	6692
3	133	6529
4	165	6439
5	195	6312
6	227	6264
7	258	6196
8	287	6092
9	319	6079
10	350	6015
11	378	5927
12	406	5851
13	434	5776
14	463	5718
15	491	5657
16	519	5588
17	548	5543
18	577	5504
19	607	5467
20	639	5448
21	667	5400
22	695	5355
23	724	5313
24	753	5275
25	781	5227
26	811	5197
27	839	5156
28	867	5114
29	894	5067
30	922	5028
31	952	4999
32	981	4965
33	1008	4926
34	1036	4886
35	1065	4852
36	1094	4822
37	1123	4791
38	1152	4759
39	1182	4730
40	1212	4700
41	1242	4674
42	1271	4642
43	1300	4612
44	1334	4595
45	1368	4583
46	1407	4581
47	1451	4594
48	1485	4577
49	1521	4564
50	1555	4544
51	1590	4526
52	1626	4511
53	1663	4498
54	1696	4472
55	1727	4443
56	1757	4407
57	1786	4373
58	1821	4352
59	1849	4315
60	1878	4280
61	1908	4248
62	1936	4211
63	1963	4173
64	1994	4142
65	2022	4106
66	2054	4077
67	2089	4055
68	2118	4021
69	2145	3984
70	2173	3948
71	2202	3915
72	2230	3880
73	2257	3844
74	2285	3809
75	2316	3778
76	2344	3744
77	2371	3709
78	2401	3677
79	2429	3643
80	2457	3611
81	2488	3581
82	2517	3548
83	2544	3513
84	2572	3480
85	2601	3448
86	2631	3418
87	2662	3388
88	2692	3358
89	2722	3327
90	2752	3297
91	2780	3264
92	2811	3234
93	2840	3203
94	2872	3174
95	2905	3147
96	2936	3117
97	2968	3089
98	3001	3061
99	3031	3031
100	3061	3001
101	3090	2969
102	3120	2938
103	3149	2907
104	3179	2876
105	3208	2845
106	3237	2814
107	3266	2782
108	3297	2753
109	3329	2723
110	3358	2692
111	3387	2661
112	3417	2631
113	3446	2600
114	3475	2569
115	3503	2537
116	3534	2507
117	3563	2476
118	3592	2445
119	3621	2414
120	3652	2384
121	3682	2354
122	3711	2323
123	3740	2292
124	3769	2261
125	3797	2230
126	3828	2200
127	3861	2172
128	3897	2145
129	3929	2115
130	3961	2086
131	3994	2057
132	4027	2028
133	4061	2000
134	4096	1972
135	4129	1943
136	4160	1913
137	4190	1882
138	4220	1852
139	4254	1823
140	4284	1792
141	4317	1763
142	4348	1733
143	4376	1702
144	4403	1670
145	4432	1639
146	4464	1609
147	4493	1578
148	4521	1547
149	4550	1516
150	4579	1486
151	4608	1455
152	4638	1424
153	4667	1394
154	4694	1362
155	4724	1332
156	4753	1301
157	4782	1271
158	4811	1240
159	4839	1209
160	4868	1179
161	4900	1149
162	4929	1118
163	4958	1088
164	4988	1058
165	5017	1027
166	5048	997
167	5076	967
168	5105	936
169	5138	906
170	5166	876
171	5195	845
172	5223	815
173	5252	784
174	5282	754
175	5313	724
176	5342	694
177	5369	663
178	5397	633
179	5424	602
180	5451	572
181	5480	542
182	5511	511
183	5540	481
184	5570	451
185	5599	421
186	5630	391
187	5661	361
188	5690	331
189	5721	301
190	5750	270
191	5783	240
192	5814	210
193	5845	180
194	5877	150
195	5908	120
196	5941	90
197	5969	60
198	5998	30
199	6027	0
